id,is_a
1584,15212
1585,4087
1586,4711
1587,1638
1588,1638
1589,5194
1590,1638
1591,1638
1592,1638
1593,5629
1594,1638
1595,1630
1596,1595
1597,3681
1598,3681
1599,4113
1600,18544
1601,10959
1602,6533
1603,6533
1604,1601
1605,11222
1606,11222
1607,7521
1608,4234
1609,64
1610,35398
1611,1637
1612,35398
1613,35398
1614,35398
1615,13648
1616,1637
1617,1637
1618,1637
1619,1637
1620,3501
1621,4573
1622,1637
1623,15156
1624,4449
1625,1621
1626,1621
1627,4449
1628,15212
1629,34979
1630,5090
1631,1473
1632,3496
1633,35307
1634,1637
1635,35489
1636,35489
1637,3509
1638,3920
1639,2017
1640,12254
1641,17635
1642,15704
1643,1785
1644,1785
1645,1785
1646,1785
1647,10314
1648,4121
1649,1785
1650,1785
1651,1637
1652,1637
1653,9141
1654,14768
1655,9141
1656,1653
1657,1671
1658,1671
1659,1638
1660,1638
1661,35552
1662,6197
1663,3499
1664,1663
1665,4256
1666,1383
1667,8230
1668,1638
1669,1668
1670,1668
1671,9141
1672,1663
1673,9141
1674,1638
1675,4121
1676,11164
1677,15060
1678,8193
1679,11164
1680,15212
1681,15212
1682,15212
1683,15212
1684,4742
1685,8001
1686,35130
1687,15016
1688,15017
1689,15018
1690,10314
1691,15212
1692,15048
1693,15051
1694,5913
1695,11164
1697,15212
1698,13685
1699,4674
1700,10313
1701,9127
1702,1037
1703,11158
1705,9564
1706,3037
1707,2553
1708,10912
1709,475
1710,475
1711,64
1712,1711
1713,1711
1714,45
1715,19267
1716,7375
1717,7635
1718,9661
1719,11775
1720,7635
1721,7228
1722,7228
1723,13765
1724,1825
1725,2215
1726,64
1727,4119
1728,72
1729,13522
1730,1743
1731,464
1732,12330
1733,34921
1734,4529
1735,1962
1736,1829
1737,72
1738,1739
1739,11004
1740,15212
1741,3583
1742,13765
1743,8845
1744,34769
1745,444
1746,3893
1747,353
1748,3893
1749,353
1750,467
1751,4000013
1752,4000013
1753,10365
1754,11825
1755,5913
1756,34921
1757,1444
1758,479
1759,10314
1760,1825
1761,16566
1762,35612
1763,7213
1764,1825
1765,3914
1766,6311
1767,6311
1768,10314
1769,4121
1770,4111
1771,464
1772,15808
1773,64
1774,14892
1775,10314
1776,2203
1777,3891
1778,15808
1779,3891
1780,1021
1781,22303
1782,15808
1783,64
1785,34713
1786,64
1787,1781
1788,7619
1789,1781
1790,1781
1791,1781
1792,1781
1793,1781
1794,7619
1795,1781
1796,6314
1797,6312
1798,11825
1799,6311
1800,45
1801,63
1802,63
1803,15808
1804,5764
1805,3338
1806,1805
1807,7134
1808,10313
1809,1808
1810,7651
1811,60
1812,10305
1813,1810
1814,1813
1815,1813
1816,1810
1817,15154
1818,15251
1819,161
1820,19319
1821,19319
1822,3037
1823,7844
1824,4785
1825,2553
1826,4785
1827,456
1828,3729
1829,15212
1830,1044
1831,12102
1832,1829
1833,3102
1834,1833
1835,1833
1836,456
1837,3928
1838,1837
1839,34921
1840,25
1841,1840
1842,1840
1843,1840
1844,34921
1845,6586
1846,34921
1847,34929
1848,34944
1849,62
1850,4111
1851,64
1852,6586
1853,2518
1854,2518
1855,25
1856,25
1857,1856
1858,1856
1859,1856
1860,25
1861,25
1862,64
1863,13685
1864,13685
1865,25
1866,456
1867,7844
1868,1418
1869,15212
1870,16529
1871,16526
1872,16526
1873,9663
1874,9663
1875,9663
1876,5401
1877,9663
1878,9663
1879,9663
1880,9663
1881,9663
1882,9663
1883,9663
1884,3443
1885,2616
1886,36303
1887,2437
1888,34730
1889,5476
1890,4121
1891,10314
1892,4731
1893,4121
1894,10314
1895,4733
1896,64
1897,15212
1898,2616
1899,2616
1900,2616
1901,8397
1902,1277
1903,15234
1904,2616
1905,10134
1906,15234
1907,15234
1908,11591
1909,25261
1910,5838
1911,19319
1912,9911
1913,6539
1914,6539
1915,8339
1916,8339
1917,4700
1918,8339
1919,4701
1920,15233
1921,15233
1922,15233
